actual,predicted
24575,21862.214285714286
20898,23303.006666666668
18951,121757.75714285714
21226,23303.006666666668
21503,24995.2744665195
35309,24995.2744665195
2394053,1660703.125
28273,126468.83947583947
30121,35837.81650135257
24224,24995.2744665195
19925,35837.81650135257
25230,35837.81650135257
34655,126468.83947583947
32449,23303.006666666668
22534,35837.81650135257
21635,23303.006666666668
22449,35837.81650135257
28228,35837.81650135257
18027,25012.125
25453,126468.83947583947
21766,23303.006666666668
34650,126468.83947583947
22735,23303.006666666668
25268,126468.83947583947
25826,24995.2744665195
24816,23303.006666666668
21837,946491.4666666667
22226,24995.2744665195
22745,35837.81650135257
24093,100113.71875
24010,24995.2744665195
1154906,1159067.7
19932,24995.2744665195
21798,25274.01818181818
20967,35837.81650135257
35864,35837.81650135257
19325,35837.81650135257
30528,35837.81650135257
27454,35837.81650135257
20752,23303.006666666668
1160946,1159067.7
23691,35837.81650135257
24432,24995.2744665195
20855,23303.006666666668
27286,126468.83947583947
24107,35837.81650135257
22205,35837.81650135257
24497,24995.2744665195
23971,35837.81650135257
23936,24995.2744665195
25434,23303.006666666668
25112,30937.164705882355
22054,24995.2744665195
23824,23303.006666666668
21805,126468.83947583947
22005,23303.006666666668
71178,30937.164705882355
18798,35837.81650135257
19911,126468.83947583947
30331,126468.83947583947
21378,23303.006666666668
19330,126468.83947583947
20988,23303.006666666668
25027,24995.2744665195
24775,24995.2744665195
18373,126468.83947583947
21168,23303.006666666668
22781,35837.81650135257
28651,35837.81650135257
18590,100113.71875
34970,24995.2744665195
16393,121757.75714285714
27619,23303.006666666668
2070250,1676235.0967741935
24629,126468.83947583947
23167,23303.006666666668
22616,35837.81650135257
20768,23303.006666666668
27241,24995.2744665195
26423,24995.2744665195
28450,35837.81650135257
20767,23303.006666666668
23493,24995.2744665195
20662,23303.006666666668
30278,24995.2744665195
20193,126468.83947583947
22581,23303.006666666668
22261,23303.006666666668
22165,126468.83947583947
29395,126468.83947583947
23099,23303.006666666668
34901,1310669.6666666667
20118,35837.81650135257
20905,25274.01818181818
20733,126468.83947583947
24760,126468.83947583947
17946,121757.75714285714
22865,126468.83947583947
26615,23303.006666666668
24778,100113.71875
21750,35837.81650135257
20900,23303.006666666668
21201,23303.006666666668
24757,126468.83947583947
23789,126468.83947583947
20650,23303.006666666668
23579,23303.006666666668
22915,23303.006666666668
21485,24995.2744665195
17594,126468.83947583947
23591,126468.83947583947
23239,35837.81650135257
23364,126468.83947583947
21268,126468.83947583947
23814,126468.83947583947
23865,126468.83947583947
21091,25274.01818181818
24192,100113.71875
31313,35837.81650135257
28815,126468.83947583947
24125,126468.83947583947
19868,24995.2744665195
